"plot_in_year","ACMGLA","AMSMEN","BRATOR","BRODIA","BROMAD","CALCIL","CRACON","CROSET","CRYINT","EROCIC","EROMOS","EUCCHR","HORMUR","LUPBIC","LUPSPA","LUPTRU","NEMMEN","PECLIN","PHADIS","SCHBAR","SISERY","SONOLE"
"E_5_U.2021.raked",0,0.037037037037037,0.0123456790123457,0.938271604938272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123456790123457,0,0,0
"E_6_L.2021.raked",0,0.0549450549450549,0,0.923076923076923,0,0,0,0.021978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_6_U.2021.unraked",0,0.0113636363636364,0.0113636363636364,0.977272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_7_L.2021.unraked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_7_U.2021.raked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_8_L.2021.raked",0,0.032258064516129,0,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_8_U.2021.unraked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_9_L.2021.unraked",0,0.0222222222222222,0,0.977777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_9_U.2021.raked",0,0.010989010989011,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_10_L.2021.raked",0,0,0.010989010989011,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_10_U.2021.unraked",0,0.0319148936170213,0.0425531914893617,0.925531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_1_L.2021.unraked",0,0,0.010989010989011,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_1_U.2021.raked",0,0,0,0.967741935483871,0.010752688172043,0,0,0,0.010752688172043,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0
"G_2_L.2021.raked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_2_U.2021.unraked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_3_L.2021.unraked",0,0.0108695652173913,0.0108695652173913,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_3_U.2021.raked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_4_L.2021.raked",0,0,0.010989010989011,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_4_U.2021.unraked",0,0.0198019801980198,0.0891089108910891,0.891089108910891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_5_L.2021.unraked",0,0,0.010989010989011,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_5_U.2021.raked",0,0.0104166666666667,0.0520833333333333,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_6_L.2021.raked",0,0.0105263157894737,0.0315789473684211,0.947368421052632,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0
